"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\Command.cs", "C#", 5, 0, 3, 8
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\BoardModel.cs", "C#", 5, 0, 1, 6
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\GameModel.cs", "C#", -1, 0, 0, -1
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\PlayerModel.cs", "C#", 1, 0, 0, 1
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\TurnModel.cs", "C#", 29, 0, 0, 29
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\TurnService.cs", "C#", 12, 0, 3, 15
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenWindowPresenter.cs", "C#", -5, 0, -1, -6
"Total", "-", 46, 0, 6, 52
