"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\Command.cs", "C#", 1, 0, 0, 1
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandFactory.cs", "C#", 4, 1, 2, 7
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\GameUICommand.cs", "C#", 19, 0, 4, 23
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\UIEvents.cs", "C#", 16, 1, 4, 21
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\DeckCardInfoWindow\DeckCardInfoWindowCloseAnimation.cs", "C#", 24, 0, 5, 29
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\DeckCardInfoWindow\DeckCardInfoWindowPresenter.cs", "C#", 57, 0, 12, 69
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\DeckCardInfoWindow\DeckCardInfoWindowView.cs", "C#", 46, 0, 11, 57
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowPresenter.cs", "C#", 3, 0, 0, 3
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowView.cs", "C#", 3, 0, 0, 3
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReserveDeckCardWindow\ReserveDeckCardWindowPresenter.cs", "C#", 7, 0, 1, 8
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReserveDeckCardWindow\ReserveDeckCardWindowView.cs", "C#", 12, 0, 4, 16
"Total", "-", 192, 2, 43, 237
