"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\Command.cs", "C#", 33, 0, -1, 32
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandFactory.cs", "C#", 36, 4, 13, 53
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\GameUICommand.cs", "C#", 143, -62, 35, 116
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\ConcertCardData.cs", "C#", 26, 0, 8, 34
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\ConcertCardDeckData.cs", "C#", 10, 0, 2, 12
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Data\MusicCardData.cs", "C#", 6, 0, 3, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\GameEvents.cs", "C#", 2, 0, 0, 2
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\UIEvents.cs", "C#", 83, 3, 13, 99
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\BoardModel.cs", "C#", 9, 0, 1, 10
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\ConcertCardModel.cs", "C#", 36, 0, 6, 42
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\GameConfig.cs", "C#", 11, 0, 2, 13
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\GameModel.cs", "C#", 10, 0, 1, 11
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\MusicCardCollectionModel.cs", "C#", 18, 0, 1, 19
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\PlayerModel.cs", "C#", 35, 0, 7, 42
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\ResourceCollectionModel.cs", "C#", 30, 0, 3, 33
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\BoardService.cs", "C#", 9, 0, 1, 10
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\PlayerService.cs", "C#", 0, 0, 2, 2
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\TurnService.cs", "C#", 77, 1, 24, 102
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Test\GameTestManager.cs", "C#", 3, 0, 0, 3
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCardPanelPresenter.cs", "C#", -27, -4, -7, -38
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardPresenter.cs", "C#", -54, -24, -25, -103
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardView.cs", "C#", -19, -2, 0, -21
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardViewModel.cs", "C#", -124, 0, -24, -148
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPresenter.cs", "C#", 12, 0, 4, 16
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardToken\BoardTokenPresenter.cs", "C#", -35, -3, -6, -44
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardToken\BoardTokenViewModel.cs", "C#", -126, -1, -25, -152
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardView.cs", "C#", 8, 0, 1, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseSingleToken\CardPurchaseSingleTokenPresenter.cs", "C#", 8, 0, 1, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseSingleToken\CardPurchaseSingleTokenViewModel.cs", "C#", 2, 0, 0, 2
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseWindowPresenter.cs", "C#", 8, 0, 1, 9
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseWindowView.cs", "C#", 10, 0, 0, 10
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\CardPurchaseWindow\CardPurchaseWindowViewModel.cs", "C#", 5, 0, 0, 5
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ConcertCardsWindow\ConcertCardsWindowPresenter.cs", "C#", 58, 0, 13, 71
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ConcertCardsWindow\ConcertCardsWindowView.cs", "C#", 52, 0, 11, 63
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Elements\CardRequirementContainer.cs", "C#", 19, 0, 2, 21
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Elements\ConcertCardElement.cs", "C#", 60, 0, 10, 70
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowPresenter.cs", "C#", -4, -4, -3, -11
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\GameWindow\GameWindowView.cs", "C#", 6, 0, 0, 6
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\InfoWindow\InfoWindowPresenter.cs", "C#", 57, 0, 12, 69
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\InfoWindow\InfoWindowView.cs", "C#", 37, 0, 9, 46
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\DetailsMusicCardView.cs", "C#", 34, 0, 3, 37
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\PlayerResourcesWindow\PlayerResourcesWindowPresenter.cs", "C#", 12, 0, 2, 14
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\PlayerResourcesWindow\PlayerResourcesWindowView.cs", "C#", 10, 0, 2, 12
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenWindowPresenter.cs", "C#", 13, 0, 2, 15
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\ReturnTokenWindow\ReturnTokenWindowView.cs", "C#", 3, 0, -1, 2
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\StartPageWindow\StartPagePresenter.cs", "C#", 63, 0, 15, 78
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\StartPageWindow\StartPageView.cs", "C#", 38, 0, 9, 47
"Total", "-", 703, -92, 127, 738
