"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\Command.cs", "C#", 41, 1, 13, 55
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\CommandFactory.cs", "C#", 4, 0, 1, 5
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Commands\GameUICommand.cs", "C#", 3, 0, 2, 5
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Events\UIEvents.cs", "C#", 24, 2, 5, 31
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Managers\GameManager.cs", "C#", -1, 0, 0, -1
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Models\BoardModel.cs", "C#", 39, 0, 7, 46
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\BoardService.cs", "C#", 12, 0, 3, 15
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\Services\TurnService.cs", "C#", 39, 1, 8, 48
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardMusicCardPanel\BoardMusicCard\BoardMusicCardPresenter.cs", "C#", 25, -4, 9, 30
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardPlayersPanel\BoardSinglePlayer\BoardSinglePlayerPresenter.cs", "C#", -1, 0, 0, -1
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\Board\BoardTokenPanel\BoardToken\BoardTokenPresenter.cs", "C#", 12, 0, 4, 16
"c:\Users\danie\Desktop\symfonia-mistrzow-game\Assets\Scripts\UI\MusicCardDetailsPanel\MusicCardDetailsPanelPresenter.cs", "C#", 8, -2, 3, 9
"Total", "-", 205, -2, 55, 258
